iter	Passed	Remaining
0	1	307
1	2	277
2	4	263
3	5	253
4	6	245
5	7	239
6	8	245
7	10	240
8	11	238
9	12	235
10	13	233
11	14	230
12	15	229
13	17	227
14	18	224
15	19	223
16	20	221
17	21	215
18	22	214
19	23	214
20	25	213
21	26	211
22	27	209
23	28	207
24	29	205
25	30	204
26	31	203
27	32	201
28	33	200
29	34	195
30	35	194
31	36	192
32	38	192
33	39	191
34	40	189
35	41	188
36	42	187
37	43	186
38	44	185
39	45	183
40	47	182
41	48	181
42	49	180
43	50	178
44	51	179
45	53	178
46	54	177
47	55	175
48	56	174
49	57	173
50	58	171
51	59	170
52	61	169
53	62	168
54	63	167
55	64	165
56	65	164
57	66	163
58	67	162
59	69	161
60	70	159
61	71	158
62	72	157
63	73	155
64	74	154
65	75	153
66	76	151
67	77	150
68	78	149
69	79	148
70	80	146
71	82	146
72	83	145
73	84	143
74	85	142
75	86	141
76	87	140
77	88	138
78	89	137
79	90	136
80	91	135
81	92	133
82	94	132
83	95	131
84	96	130
85	97	129
86	98	128
87	99	126
88	100	125
89	101	124
90	102	123
91	103	122
92	105	120
93	106	119
94	107	118
95	108	117
96	109	116
97	110	114
98	111	114
99	112	112
100	113	111
101	115	110
102	116	109
103	117	108
104	118	106
105	119	105
106	120	104
107	121	103
108	122	102
109	123	101
110	124	100
111	126	99
112	127	97
113	128	96
114	129	95
115	130	94
116	131	93
117	132	92
118	133	91
119	134	89
120	135	88
121	136	87
122	138	86
123	139	85
124	140	84
125	141	83
126	142	81
127	143	80
128	144	79
129	145	78
130	146	77
131	147	76
132	149	75
133	150	73
134	151	72
135	152	71
136	153	70
137	154	69
138	155	68
139	157	67
140	158	66
141	159	65
142	160	63
143	161	62
144	162	61
145	165	61
146	166	60
147	167	58
148	168	57
149	170	56
150	171	55
151	172	54
152	173	53
153	174	52
154	175	51
155	176	49
156	177	48
157	179	47
158	180	46
159	181	45
160	182	44
161	183	43
162	184	41
163	185	40
164	187	39
165	188	38
166	189	37
167	190	36
168	191	35
169	192	33
170	193	32
171	194	31
172	195	30
173	196	29
174	198	28
175	199	27
176	200	26
177	201	24
178	202	23
179	203	22
180	204	21
181	206	20
182	207	19
183	208	18
184	209	16
185	210	15
186	211	14
187	212	13
188	213	12
189	214	11
190	215	10
191	216	9
192	217	7
193	218	6
194	220	5
195	221	4
196	222	3
197	223	2
198	224	1
199	225	0
